base_data_name,model_name,adaptation_method,selection_method,batch_size,seed,shift_type,corruption_type,severity,cross_entropy,accuracy_top1
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Noise,1,0.645574442,79.29
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Noise,2,0.917314376,71.89
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Noise,3,1.177821424,65.63
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Noise,4,1.31744454,62.06
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Noise,5,1.465023236,59.26
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Brightness,1,0.351842206,88.15
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Brightness,2,0.359972304,87.92
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Brightness,3,0.372793491,87.54
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Brightness,4,0.390065719,87.06
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Brightness,5,0.436710852,85.76
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Contrast,1,0.358754952,88.17
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Contrast,2,0.393059654,86.99
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Contrast,3,0.41815931,86.07
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Contrast,4,0.460694446,84.6
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Contrast,5,0.572022405,81.2
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Defocus Blur,1,0.347456231,88.47
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Defocus Blur,2,0.349996497,88.46
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Defocus Blur,3,0.365295287,87.69
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Defocus Blur,4,0.415646847,86.07
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Defocus Blur,5,0.544985035,82.62
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Frost,1,0.473999373,84.17
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Frost,2,0.605551817,80.92
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Frost,3,0.747603089,76.58
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Frost,4,0.778590845,76.26
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Frost,5,0.922800519,72.2
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Blur,1,0.347306448,88.36
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Blur,2,0.364594297,87.83
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Blur,3,0.40144584,86.5
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Blur,4,0.46080803,84.84
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Gaussian Blur,5,0.63425363,80.02
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Elastic Transform,1,0.499087926,84.13
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Elastic Transform,2,0.486102279,84.5
cifar10-c,resnet26,bn_adapt,last_iterate,8,2022,synthetic,Elastic Transform,3,0.506520938,83.5
